Circuit,Succ,Input,Output,Lat,And,Lev
morse-code-encoder,1,5,8,0,15,3
2-to-4-Binary-Decoder,1,3,4,0,8,2
DDI_P2,1,3,3,0,0,0
32_bits_processor,1,65,80,0,0,0
RISC-V_single_cycle_processor,1,8,3,0,8,3
Frequency-counter-with-LCD-display,1,5,6,0,2,1
tt07_ps2_decoder,1,8,8,0,27,8
Serial-Peripheral-Interface-Protocol-Using-Verilog,1,47,67,0,131,8
step-motor-controller,1,8,11,0,24,6
HDB3_FPGA,1,12,6,0,18,7
encoder8to3-decoder3to8,1,3,8,0,14,2
spdif_frame_encoder,1,16,14,0,37,5
DigitalDesignI-P3,1,5,5,0,3,2
Risc-Processor,1,32813,5765,0,67235,19
Design-of-Corsstalk-Avoidance-CODEC,1,4,5,0,5,2
Program-Counter,1,13,7,0,52,13
motor_drive,1,11,10,0,29,10
RISCV32-IC-5-stage-pipeline-processor,1,66,33,0,476,83
RISCV32-Processor,1,18,18,0,67,18
7-segment-Decoder-Basys3,1,16,16,0,59,16
PCI_proj_verilog,1,14,17,0,28,5
FPGA-CAN,1,11,11,0,39,11
Floating-point-MAC-verilog,1,56,28,0,405,65
ALU-module,1,2,1,0,3,2
kv260_lvdsspi_dma,1,49,51,0,156,12
RISC_2,1,21,18,0,59,6
ELD-Assignment10,1,3,2,0,3,2
RISCV-CPU-verilog,1,546,578,0,3796,14
MIPS-Datapath-Addition,1,129,35,0,234,8
PWM_Messages,1,11,11,0,39,11
even_clock_divider,1,3,3,0,0,0
Embedded_Systems_lab1_GRAY,1,8,11,0,15,4
riscv_group8,1,19,18,0,24,2
ALU,1,3,2,0,9,4
ASIC-Implementation-UART,1,18,18,0,0,0
SPI_Serial_Peripheral_Interface_Verilog_Modules,1,13,5,0,1,1
Arithmetic-Logic-Unit-Design,1,26,13,0,175,34
Basic-CPU-Design,1,3,8,0,14,2
Mix_signal_clock_Divider,1,4,7,0,7,3
Verilog-Labs,1,35,18,0,174,39
RISC-V-CPU-2023,1,85,85,0,0,0
469Lab1,1,66,65,0,32,1
RTL-Day-13-Encoder,1,4,2,0,2,1
RISC-V-32bit,1,65,33,0,115,30
32_Bit_RISC_Arithmetic_Logic_Unit,1,66,33,0,476,83
32-bit-RISC-MIPS-Processor-,1,1,1,0,0,0
PCIe_PHY_Layer,1,1,1,0,0,0
Day1_RTL_Half_Adder,1,2,2,0,4,2
PCI-Arbiter,0,0,0,0,0,0
x86_decoder,1,562,614,0,3605,8
mano-basic-computer-,1,19,10,0,84,18
PRIORITY-ENCODER,1,4,2,0,3,2
Sensored-Brushless-DC-Motor-Controller,1,19,19,0,65,7
8-to-3-bit-Priority-Encoder,1,8,3,0,20,7
arithmetic-encoder-av1,1,2,2,0,4,2
zynq-dma-cyclic,1,32,32,0,123,32
ClockDivider,1,6,9,0,0,0
FPGA_PS2_VGA_PWM,1,4,5,0,4,2
Gray-to-Binary-Day-038-,1,4,4,0,9,6
RISC-V32b,1,65,32,0,96,2
Decoder-CircuitDesignProgect-,1,13,17,0,33,5
ImageProcessing1,1,23,12,0,80,21
HDB3_encoder_verilog_FPGA,1,37,37,0,47,6
risc-simple,1,1063,1130,0,5168,11
Lab_7,1,65,33,0,354,78
reed_solomon_decoder,1,1467,1873,0,7559,15
decoder-3to8-verilog,1,3,8,0,14,2
Round_Robin_Arbiter_Design_Verify,1,32,32,0,123,32
Serial-2-s-Complementer-with-a-Shift-Register-and-a-flip-flop,0,0,0,0,0,0
PWM-Generator---Verilog,1,8,8,0,27,8
unit-addr-decoder-4-sw-v-design,1,18,18,0,0,0
HW8-Decoder-Control,1,36,56,0,55,5
Verilog-Programming-for-Computer-Systems-Structure,1,6,1,0,9,4
Risc-V-32I-Single-Cycle-Processor,1,65,33,0,354,78
Up-Down-Counter-using-Verilog,1,5,7,0,14,8
LZ77-DECODER,1,102,97,0,420,11
binary_to_bcd_converter,1,58,63,0,349,31
Single_Cycle_Arbiter,1,32,32,0,75,18
fpga_shift_counter,1,8,8,0,27,8
RISCBench,1,65,33,0,115,30
4x16_Decoder,1,25,37,0,24,2
RISC-V---IF,1,96,96,0,0,0
RISCV_Single_Cycle_Core,1,66,65,0,32,1
RISC-V-32I-based-core-with-Advanced-Extensible-Interface,1,3,2,0,9,4
e18-co502-RV32IM-pipeline-implementation-group7,1,67,65,0,84,5
ALU-Arithmetic-Logic-Unit--Implementation,1,66,33,0,476,83
Passcoder,1,36,37,0,167,81
Arithmetic-Logic-Unit-Example,1,34,17,0,236,44
Design-and-Simulation-of-Frequency-Divider-Circuit,1,5,6,0,7,3
ADC-DAC_Drivers,1,32,32,0,123,32
RISC_V_SC-main,1,65,33,0,354,78
Sucu_PWM_mod,1,2,1,0,1,1
8237A-DMA-master,1,15,16,0,0,0
SPI-Commuication-protocol-and-PWM-implementation-in-verilog,1,32,32,0,123,32
Clock-divider-100MHz-to-1Hz-verilog-program,1,26,26,0,99,26
Arbiter32,1,11,9,0,45,11
QC_LDPC-ECC,1,8,12,0,15,4
Verilog-code,0,0,0,0,0,0
RISC_SPM,1,19,18,0,24,2
ECE-2700-Decoder,1,25,25,0,95,25
Advanced-Digital-Design_Lab1-Build-Adders-Subtractors-and-Multipliers,1,6,5,0,5,3
4bit_Full_Adder_Substractor,1,2,2,0,4,2
Sub-unit_CPU_ARM,1,68,34,0,372,92
absolute-encoder,1,103,133,0,340,25
pwm_motor_system,1,30,31,0,333,188
decoder_7,1,4,7,0,28,5
RISC-v-32,1,66,33,0,476,83
riscy,1,66,33,0,476,83
risc8,1,20,10,0,119,22
2-stage-pipeline-Risc-V-Processor,1,130,2,0,253,131
ADCD_7seg_Comparator,1,5,8,0,45,6
32-bit-Single-Cycle-RISC-V,1,7,12,0,25,7
riscv_tests,1,2,1,0,1,1
BarrelShifter,1,3,1,0,3,2
Linear_Block_Coding_Encoder,1,218,222,0,227,2
riscv_SPAR_project,1,65,33,0,354,78
riscv_picorv32,1,65,64,0,251,64
Round-Robin-Arbiter-Fixed-Time-Sclices,1,9,9,0,35,7
RISCV-CPU-Design,1,65,32,0,96,2
Wallace-Multiplier,1,2,2,0,4,2
Johnson-Counter-Day-070-,1,6,9,0,4,1
Synchronous-RAM-design-in-Quartus-prime-lite,1,8220,2219,0,18095,25
Verilog-Simulator,1,3,2,0,9,4
fpga-cpu,1,6,8,0,0,0
dvsd_4bit_magnitude_comparator,1,8,3,0,25,8
BCD-DecoderFPGA,1,4,7,0,43,6
Hierarchical-Design-of-3-8-decoder,1,3,4,0,8,2
Priority_Encoder_using_Task,1,8,4,0,20,7
PISO_Shift_Register-Day-017-,1,11,8,0,10,2
A-pipelined-RISC-32-bit-processor-implemented-in-verilog,1,1,1,0,0,0
Phy_Pcie,1,32,32,0,123,32
mux-decoder,1,3,8,0,14,2
ecc_enc_dec,1,64,32,0,336,24
UACJ-PWM-Sistemas-Digitales,1,17,9,0,76,17
RyanGrayFrequencyCounter,1,21,21,0,79,21
linear-feedback,1,12,11,0,18,4
Viterbi_Decoder_in_Verilog,1,32,32,0,123,32
riscv-iitg,1,39,32,0,551,10
RISC-V_Processor_MultiCycle,1,67,65,0,98,4
riscv-src,1,546,578,0,3796,14
TransactionLayerPCIe,1,1,1,0,0,0
RISC-V-Datapath-and-Control,1,3,1,0,3,2
riscv_debug,1,65,33,0,115,30
frequency-counter,1,16,16,0,59,16
PCIe_transaction_layer,1,65,97,0,147,8
FPGA-SDES-Implementation,1,10,10,0,0,0
pwm-chisel,1,32,32,0,123,32
CRC,1,20,20,0,60,8
PWM-design,1,8,8,0,27,8
ima_adpcm_enc_dec,1,42,21,0,294,52
tt07-bep-decode,1,20,21,0,183,98
IR-Transreceiver,1,10,12,0,12,5
3_8_Decoder,1,3,8,0,14,2
riscv-tlv-core,1,5,3,0,3,2
Decoder-verilog-,1,3,8,0,14,2
jt7759,1,24,19,0,95,13
Decade_Counter-Day-008-,1,5,9,0,15,4
pdm_modulation,1,65,33,0,313,91
Creating-PWM-with-Vriable-Signal-Width-in-Xilinx-Spartan-6,1,32,32,0,123,32
risc-vapor,1,39,32,0,551,10
Pipelined-Multiplier,1,18,18,0,0,0
EF_ACMP_DI,1,3,3,0,0,0
Mod-N_Counter-Day-022,1,6,10,0,12,4
TRNG,1,3,3,0,0,0
RISCV_CPU_Verilog,1,7,10,0,16,5
Rotary-Encoder-MK991-Driver,1,8,8,0,27,8
Glowing-led,1,10,10,0,33,9
RISC-V_HDP,1,141,46,0,1084,66
PWMGenerator,1,18,3,0,29,16
Chakravyuh-,1,173,184,0,322,24
Decade_counter_008,1,6,10,0,15,4
HDB3_Encoder,1,8,8,0,11,4
4-Bit-Universal-Shifter,1,2,1,0,1,1
UT_460M_Lab3,1,32,32,0,123,32
morse-tx-ch-rx,1,5,5,0,0,0
AllArbiterRTLCode,1,10,10,0,19,7
4-bit-alu,1,3,2,0,9,4
pes_pwm,1,4,4,0,0,0
VoiceTransformer,1,33,17,0,162,37
ahb_arbiter,1,611,471,0,610,31
decoder-encoder,1,3,4,0,7,2
MS_DMAC_AHBL,1,16,16,0,59,16
3bit-PWM-Generator-using-eSim,1,4,8,0,17,3
aes220-peak-counter,1,12,12,0,0,0
ECE441-Project-2,1,26,26,0,99,26
lr_3_to_8_bin_decoder,1,4,8,0,17,3
PWMVerilog,1,7,7,0,23,7
RTL-Day-2-Adder-Subtractor,1,3,2,0,9,4
pwm-controller,1,5,5,0,1,1
Proyecto_PCIE,1,1,1,0,0,0
RISCV_NO_PIPELINE,1,11,11,0,39,11
High-Frequency-PWM,1,8,8,0,27,8
Verilog-Program-Counter-and-Shifter,1,3,3,0,0,0
FullAdder_Subtractor_4bit,1,2,2,0,4,2
Day-014_freq_divider,1,7,7,0,14,4
iiitb_sipo,1,7,9,0,4,1
clock_divide,1,8,8,0,27,8
Priority_Encoder_RTL,1,11,7,0,16,6
64-bit-Single-Cycle-RISC-V-CPU,1,129,65,0,738,174
Decoder-and-Multiplexer,1,4,8,0,17,3
Shift-Registers,1,4,4,0,0,0
SPI_Protocol_Verilog-_Code,1,23,12,0,46,7
scompliment,1,2,1,0,3,2
Day-004-8bit_Encoder,1,12,7,0,60,10
accomdemy_rv32i,1,65,33,0,115,30
RISC-SPM,1,18,9,0,117,24
tn9k_rotary_encoder,1,16,16,0,45,16
A_simplified_Quasi_Cyclic_LDPC_decoder_implementation_with_Verilog_FPGA,1,368,410,0,2140,11
Basys3-Pmod-AD1-DA3-ADC-to-DAC-Signal-Pass-Through,1,25,25,0,95,25
Lodable_4bit_up_counter,1,11,9,0,29,8
11-15-Hamming-Encoder-Decoder,1,71,67,0,342,21
RICS-MIPS-32bitCPU,1,3,2,0,0,0
RISC-V_Practice,1,1098,1244,0,5244,14
Keyboard---VGA-Controller-using-SPARTAN---3-FPGA,1,4,5,0,4,2
Design-of-reduced-latency-and-increased-throughput-Polar-Decoder,1,9,9,0,31,9
FPGA_uart_2_pwm,1,20,20,0,75,20
First-task,1,19,15,0,50,5
OzoudeFrequencyCounter,1,12,12,0,43,12
LFR_with_FPGA,1,67,105,0,232,7
tt03p5-4-trit-balanced-ternary-counter-bt_signb_bt-radix-convertor,1,2,1,0,1,1
Arch2018,1,17,17,0,48,17
AES_Decoder,1,16,32,0,0,0
Frequency-Divider,1,27,27,0,103,27
Structural-Modeling-Decoder,1,3,4,0,8,2
PHY-PCIenUSB,1,9,10,0,58,10
RISC-V-Single-Cycle-Processor,1,1042,1204,0,7027,11
Barrel-Shifter-8-bit,1,3,1,0,3,2
Arithmetic-Logical-Unit,1,4,1,0,7,3
Round-robin-arbiter-VERILOG,1,12,11,0,54,9
FIFO,1,153,163,0,747,15
Local-Binary-pattern-encoder,1,7,6,0,57,10
RISC-V_pipelined_cpu,1,65,33,0,115,30
RISC-V-FPGA,1,40,40,0,0,0
Sequence-detector,1,35,18,0,170,36
Single-Cycle-RV-32I-Processor,1,64,64,0,0,0
tt06_pwm,1,4,4,0,0,0
tt06-ALU-Decoders,1,8,4,0,67,14
Artix-7-PCIE-Riffa,1,8,8,0,27,8
SpencerFrequencyCounter,1,4,7,0,28,5
tt4-pwm-audio,1,2,1,0,1,1
FPGA_robin,1,10,9,0,49,16
FPGA-JPEG-LS-encoder,1,15,15,0,52,14
IEEE754AdderASIC,1,17,9,0,73,19
general_clk_div_by_odd,1,8,10,0,31,5
barrel-shifter-16bits-DDCO,1,2,2,0,2,1
RISC_V-processor,1,612,640,0,10064,21
Project_10_3bitComparator,1,6,3,0,12,5
hex_keypad_scanner_encoder,1,13,17,0,85,11
about_risccpu,1,17,9,0,76,17
Decade_Counter_Day-008,1,5,9,0,15,4
UART-to-PWM-Generator,1,8,8,0,27,8
Hamming_encoder_decoder,1,13,14,0,107,13
Sevent-Segment-Display-Decoder,1,6,8,0,16,4
Fast-Binary-Counters-and-Compressors-Generated-by-Sorting-Network,1,2,2,0,4,2
SparkLink_1,1,9,5,0,42,11
MIPS32_Pipeline,1,2,2,0,0,0
Packet-Arbiter,1,252,211,0,1053,11
CodecPowerEvaluation,1,33,38,0,87,8
thirty-two-bits-ALU,1,2,1,0,3,2
configurable-fabric,1,8,1,0,0,0
Parametric_barrel_shifter,1,67,64,0,644,6
PCI-Arbiter-verilog-,1,24,2,0,44,15
Traffic-Light-Indicator,1,8,8,0,27,8
Pipelined-RISC,1,66,33,0,476,83
floating-point-multiplication,1,3,3,0,6,4
Decoder3_8,1,4,8,0,17,3
Chenhui_RV32,1,99,98,0,32,1
RISC-V-implementation-using-Verilog-,1,66,33,0,476,83
RISC-Pipelined-Processor,1,32,32,0,123,32
LDD_Posit_Decoder,1,4,3,0,3,3
Counter_using_clock_divider_Verilog,1,32,32,0,123,32
Verilog_Project_Sharif,1,6,5,0,32,6
matmul_PCIe,1,65,33,0,354,78
AXI_DMA,1,20,10,0,135,26
Encoder_8_1_006,1,12,7,0,60,7
CAD-Encoder-Function,1,13,17,0,60,10
bincnt,1,2,2,0,2,1
DDCO_Proj_Verilog,1,2,1,0,1,1
213-Viterbi-Decoder-using-Verilog,1,37,66,0,74,4
bittyCore_RISC-V,1,65,33,0,115,30
RISC-V-SoC,1,49,50,0,180,11
DMA_CPU,1,34,17,0,236,44
Day-008-5_to_32_decoder,1,6,32,0,63,10
Shift_Registers,1,10,9,0,4,1
Computer-Aided-Design-Projects,1,65,32,0,96,2
16-bit-microprocessor,1,50,16,0,83,4
Arbiter-RoundRobin,1,12,11,0,54,9
RISCVSimulator,1,65,33,0,115,30
PWM-Generator-with-Variable-Duty-Cycle-Using-FPGA,1,5,3,0,4,3
simple_arbiter,1,13,13,0,30,7
fre_div,1,7,8,0,18,5
RoundRobinArbiterPipeline,1,1,1,0,0,0
PIPO_Day-013,1,10,11,0,0,0
32bit_RISC-V,1,65,6,0,164,53
Fan_motor_controller,1,10,4,0,23,7
PISO,1,11,8,0,10,2
RISCV_Single_Cycle_Processor,1,65,32,0,96,2
codec-on-fpga,1,10,10,0,35,10
RC-CL-Adders,1,17,9,0,78,21
8-bit-Shift-Register,1,3,1,0,3,2
RISCProcessor,1,9,7,0,22,7
Full_Adder_Day-002,1,3,2,0,9,4
midiDecoder,1,11,11,0,39,11
audio_multi_effects_processor,0,0,0,0,0,0
Adder-Cum-Subtractor-Day-046-,1,3,2,0,9,4
Binary-Encoded-Image-Buffer,1,9,9,0,31,9
two-switch-mode,1,7,7,0,6,3
Decoder_3_8_007,1,4,8,0,17,3
SparkLink_1,1,7,17,0,46,8
xk264,1,23,12,0,78,27
riscv_de10lite,1,32,32,0,123,32
tt04-muldiv4,1,2,1,0,1,1
risc_multicycle_processor,1,7,9,0,16,6
4Bit-Adder_Subtractor,1,3,2,0,9,4
4-bit-full-adder-using-half-adder,1,3,2,0,9,4
Hexadecimal-Keypad-Scanner-using-Verilog,1,13,17,0,85,11
Matrix-Encoder-function,1,53,51,0,77,4
PCI-Bus,1,24,2,0,44,15
RISCV_pipelined_cpu,1,65,32,0,96,2
RISCV_MICROARQ,1,16,10,0,90,14
riscv32im_pipelined_cpu,1,65,32,0,96,2
kianFpgaPong,1,11,11,0,39,11
Design-of-Arbiter-Verilog-Siba-Kumar-Panda,1,4,7,0,7,3
RISC-V-Processor-with-Pipelining,1,66,33,0,476,83
NDI-DCT-encoder,1,21,11,0,93,25
Day-02-Half-Adder-Gate-Level-Modelling-,1,2,2,0,4,2
RTL-Day-29-Carry-Look-Ahead-Adder,1,3,1,0,6,4
Verilog-Arbiter,1,13,12,0,44,7
ADCD-Lab-FPGA-Register-Shift,1,5,8,0,45,6
Cube-Welcomer,1,32,32,0,93,32
ALUmojo,1,34,17,0,236,44
ASIC-Design-of-Low-Power-Configurable-Multi-Clock-Digital-System-With-UART-Transceiver,1,40,15,0,87,7
Combinational_Circuits_Verilog,1,3,1,0,3,2
Serial-IN-Parallel-OUT,1,7,7,0,0,0
ARMLEGv8Processor,1,66,33,0,476,83
32-BIT-ALU,1,64,65,0,8631,1511
pes_rr_arbiter,1,12,11,0,54,9
CAFinal,1,130,65,0,934,163
UART-Tx-Rx,1,8,8,0,27,8
ALU_Basys3,1,18,9,0,117,24
ADVD-Digital-Project,1,17,9,0,76,21
alaw,1,13,8,0,80,9
Clk-Division-By-3-Day-075-,1,3,4,0,2,1
Verilog-Code-for-free-running-binary-counter,1,8,8,0,27,8
EC311_Lab3,1,32,32,0,123,32
LZ77-Encoder-and-Decoder,1,66,56,0,167,17
SISO_Using_D-FF-Day-015-,1,3,3,0,0,0
50002_cohort4group2_4bitFullAdder_2019,1,27,27,0,103,27
FSM_Motor_PWM_control,1,5,8,0,35,6
CAD-CA2-Encoder,1,12,8,0,36,7
RISCV_PIPELINE,1,11,11,0,39,11
Up-Down-Counter,1,7,9,0,37,7
Enc_Dec_Xor,1,26,26,0,99,26
riscv_stb,1,65,33,0,115,30
RISC-V_progect,1,18,9,0,117,24
RISC-V_CPU_TEST,1,546,578,0,3796,14
Cascaded-Decade-Counters-,1,5,3,0,2,2
ARBITER,1,8,8,0,15,6
Binary-Decoder,1,20,20,0,75,20
Weighted-Round-Robin-Arbiter,0,0,0,0,0,0
